Month_Name,Results,CPL,Amount spent (USD)
Jul,32.0,38.824642857142855,9499.91
Aug,52.0,80.5570625,12644.91
Sep,32.0,86.12314814814815,14174.28
Oct,43.0,120.79527027027028,20299.81
Nov,34.0,91.904,14981.62
Dec,61.0,83.43003401360545,17391.74
Jan,64.0,80.2409219858156,16517.41
Feb,56.0,82.31826086956521,14851.14
Mar,43.0,65.49061904761905,12373.8
Apr,40.0,70.37286458333334,11827.43
May,74.0,160.9064465408805,29557.07
Jun,88.0,165.01121584699453,31329.46
